z,pre,pre_high_h,auto_0.425,auto_0.85,non_0.425,non_0.85
0.1825,0.44010407301368604,0.23951152485834937,0.3233578660426251,0.5025625,0.46159646805433474,0.85
0.185,0.44134993211761975,0.24125613793217715,0.3242573832718526,0.503625,0.46276131065967324,0.85
0.1875,0.44259579122155335,0.2430007510060047,0.32515690050108,0.5046875,0.46392615326501163,0.85
0.19,0.4438493426331793,0.24475305638752465,0.32606411003799973,0.5057499999999999,0.46509868817804234,0.85
0.1925,0.44510289404480535,0.24651307781842746,0.3269713195749195,0.5068125,0.46627122309107305,0.85
0.195,0.4463641853945119,0.24827309924933016,0.3278785291118393,0.5078750000000001,0.4674514979421843,0.85
0.1975,0.4476254767442183,0.2500408846553882,0.32879350262391427,0.5089375,0.46863177279329554,0.85
0.2,0.44888676809392475,0.2518164582234399,0.3297084761359893,0.51,0.4698198358064005,0.85
0.2025,0.45015587194363127,0.2535920317914917,0.3306312621480644,0.5110625,0.47100789881950555,0.85
0.20500000000000002,0.4514249757933378,0.2553754423501391,0.3315540481601394,0.5121249999999999,0.4721959618326106,0.85
0.20750000000000002,0.45270194127826435,0.2571588529087865,0.3324768341722144,0.5131875,0.47339188648093566,0.85
0.21,0.45397890676319097,0.2589501499027651,0.33340750661962065,0.51425,0.4745878111292608,0.85
0.2125,0.4552558722481176,0.2607493582891488,0.33433817906702695,0.5153125000000001,0.47578373577758587,0.85
0.215,0.4565407742409807,0.2625485666755324,0.3352767880223697,0.516375,0.47698759693384746,0.85
0.2175,0.45782567623384374,0.2643557368453555,0.33621539697771247,0.5174375,0.47819145809010916,0.85
0.22,0.4591185654471541,0.2661708942356259,0.3371540059330552,0.5185,0.47940330646681806,0.85
0.2225,0.4604114546604645,0.2679860516258964,0.33810062770891086,0.5195624999999999,0.48061515484352696,0.85
0.225,0.4617043438737749,0.2698092476013758,0.3390472494847664,0.520625,0.4818270032202359,0.85
0.2275,0.46300529760321435,0.27164050809298435,0.34000193577675103,0.5216875000000001,0.48304691611307393,0.85
0.23,0.46430625133265374,0.27347176858459277,0.34095662206873567,0.52275,0.4842668290059118,0.85
0.2325,0.46560720506209324,0.27531114595931816,0.3419113083607203,0.5238125,0.48549485878186666,0.85
0.23500000000000001,0.4669163021140082,0.27715052333404344,0.34287413797518046,0.524875,0.4867228885578215,0.85
0.23750000000000002,0.4682253991659233,0.2789980706434093,0.3438369675896407,0.5259375,0.4879509183337763,0.85
0.24,0.46954269293914974,0.28085381467408654,0.34479979720410087,0.5269999999999999,0.4891871448310426,0.85
0.2425,0.47085998671237617,0.282709558704764,0.34577085050277157,0.5280624999999999,0.4904233713283089,0.85
0.245,0.4721772804856028,0.28457355356052394,0.3467419038014423,0.5291250000000001,0.4916678486506577,0.85
0.2475,0.4735028524045247,0.28644582656197914,0.34772123524580845,0.5301875,0.49291232597300655,0.85
0.25,0.4748284243234465,0.28831809956343435,0.3487005666901745,0.53125,0.49415680329535533,0.85
0.2525,0.47616232957570165,0.29019870589822283,0.3496798981345406,0.5323125,0.49540961395103744,0.85
0.255,0.47749623482795683,0.2920793122330114,0.3506675907829201,0.5333749999999999,0.4966624246067196,0.85
0.2575,0.47883014008021213,0.293968307829545,0.35165528343129954,0.5344375,0.4979152352624019,0.85
0.26,0.4801724628408848,0.29586572093449603,0.352642976079679,0.5355,0.4991764634265015,0.85
0.2625,0.48151478560155747,0.297763134039447,0.3536391146740044,0.5365624999999999,0.500437691590601,0.85
0.265,0.48285710836223017,0.2996690217206692,0.3546352532683298,0.537625,0.5017073943309719,0.85
0.2675,0.4842079345242635,0.30157490940189147,0.3556398952640158,0.5386875,0.5029770970713427,0.85
0.27,0.48555876068629666,0.3034893295063218,0.3566445372597017,0.53975,0.5042467998117135,0.85
0.2725,0.4869095868483298,0.3054123112545879,0.35764917925538764,0.5408124999999999,0.5055250641959199,0.85
0.275,0.4882690040756552,0.3073352930028539,0.3586624123163657,0.541875,0.5068033285801263,0.85
0.2775,0.4896284213029805,0.3092668954407751,0.3596756453773438,0.5429375000000001,0.5080815929643329,0.85
0.28,0.49099648904933696,0.31119849787869625,0.3606888784383218,0.544,0.5093685078675705,0.85
0.28250000000000003,0.4923645567956934,0.31313878087217295,0.3617107920548554,0.5450625,0.510655422770808,0.85
0.28500000000000003,0.4937326245420499,0.31507906386564977,0.362732705671389,0.546125,0.5119423376740456,0.85
0.28750000000000003,0.4951094335471477,0.31702808811786787,0.36375461928792263,0.5471875,0.5132379938360245,0.85
0.29,0.4964862425522454,0.31898588429991037,0.3647853048342808,0.54825,0.5145336499980033,0.85
0.2925,0.49786305155734306,0.320943680481953,0.3658159903806389,0.5493125,0.5158293061599821,0.85
0.295,0.4992486944847022,0.32291031058625697,0.3668555098492585,0.550375,0.5171337962442224,0.85
0.2975,0.5006343374120614,0.32487694069056106,0.36789502931787815,0.5514375,0.5184382863284629,0.85
0.3,0.5020199803394207,0.32685246759201825,0.36893454878649784,0.5525,0.5197516732098563,0.85
0.3025,0.5034145518382085,0.32883692306490386,0.36998299682654606,0.5535625,0.5210650600912496,0.85
0.305,0.5048091233369962,0.3308213785377895,0.37103144486659423,0.5546249999999999,0.5223784469726429,0.85
0.3075,0.506203694835784,0.3328148268164306,0.3720798929066425,0.5556875,0.5237008266597918,0.85
0.31,0.50760729160533,0.3348082750950716,0.37313736621744886,0.5567500000000001,0.5250232063469404,0.85
0.3125,0.5090108883748758,0.3368107813447271,0.3741948395282552,0.5578125,0.5263455860340892,0.85
0.315,0.5104144851444217,0.33881328759438256,0.3752523128390615,0.558875,0.5276770566303288,0.85
0.3175,0.5118272060015588,0.3408249179316294,0.3763189102374591,0.5599375,0.5290085272265685,0.85
0.32,0.513239926858696,0.3428365482688762,0.3773855076358567,0.5609999999999999,0.5303399978228082,0.85
0.3225,0.5146618388923037,0.3448573697825936,0.3784521050342543,0.5620624999999999,0.5316806595955184,0.85
0.325,0.5160837509259115,0.3468874163885619,0.3795279275249028,0.563125,0.5330213213682287,0.85
0.3275,0.5175056629595192,0.3489174629945302,0.38060375001555136,0.5641875000000001,0.534361983140939,0.85
0.33,0.5189368686734244,0.3509568032807959,0.3816795725061999,0.56525,0.5357119385939466,0.85
0.3325,0.5203680743873293,0.35299614356706155,0.3827647233550573,0.5663125,0.5370618940469543,0.85
0.335,0.5217992801012346,0.35504484714920737,0.38384987420391475,0.567375,0.5384118494999619,0.85
0.3375,0.5232398843113804,0.3570935507313533,0.3849350250527722,0.5684374999999999,0.5397712034492101,0.85
0.34,0.5246804885215262,0.3591516882757634,0.3860296098638939,0.5695,0.5411305573984585,0.85
0.3425,0.5261210927316717,0.36120982582017325,0.38712419467501546,0.5705625,0.5424899113477067,0.85
0.34500000000000003,0.5275712026452395,0.3632774690680053,0.38821877948613703,0.571625,0.543858771000377,0.85
0.34750000000000003,0.5290213125588072,0.36534511231583733,0.3893229062819915,0.5726875,0.5452276306530475,0.85
0.35000000000000003,0.5304714224723751,0.36742233410773073,0.390427033077846,0.57375,0.5465964903057178,0.85
0.3525,0.531921532385943,0.3694995558996239,0.39153115987370035,0.5748221153846154,0.5479749653430035,0.85
0.355,0.5333812948091632,0.3715864302011699,0.3926449391792073,0.5758942307692307,0.5493534403802891,0.85
0.3575,0.5348410572323834,0.37368299442519637,0.3937587184847142,0.5769663461538461,0.5507319154175748,0.85
0.36,0.5363008196556038,0.37577955864922286,0.3948724977902212,0.5780481891649207,0.5521201180813198,0.85
0.3625,0.5377703477038241,0.37788588849824944,0.3959960427207282,0.5791300321759952,0.5535083207450646,0.85
0.365,0.5392398757520445,0.3799922183472758,0.3971195876512351,0.5802118751870697,0.5548965234088095,0.85
0.3675,0.5407094038002647,0.38210839071598746,0.39824313258174204,0.5813035607178293,0.5562945685922394,0.85
0.37,0.5421888132714099,0.384224563084699,0.39937655893517393,0.5823952462485888,0.5576926137756693,0.85
0.3725,0.5436682227425551,0.3863506560883312,0.40050998528860576,0.5834869317793485,0.5590906589590992,0.85
0.375,0.5451476322137003,0.3884767490919633,0.4016434116420376,0.5845885774694706,0.5604887041425289,0.85
0.3775,0.5466370416848455,0.3906128420955953,0.4027779605797411,0.5856902231595926,0.5618967493259588,0.85
0.38,0.5481264511559907,0.3927489350992276,0.40392142258544494,0.5867918688497149,0.5633047945093888,0.85
0.3825,0.549615860627136,0.39489510874802103,0.40506488459114887,0.5879035951849984,0.5647128396928186,0.85
0.385,0.5511153915557709,0.39704128239681447,0.4062083465968527,0.5890153215202818,0.5661310063337384,0.85
0.3875,0.552614922484406,0.3991976186472339,0.40736197120418255,0.5901270478555651,0.567549172974658,0.85
0.39,0.5541144534130411,0.40135395489765335,0.4085155958115124,0.5912489782724812,0.5689673396155779,0.85
0.3925,0.5556242302433156,0.40352053704971225,0.4096692204188423,0.5923709086893973,0.570395752158137,0.85
0.395,0.55713400707359,0.4056871192017709,0.41083313309201575,0.5934928391063133,0.5718241647006961,0.85
0.3975,0.5586437839038644,0.4078640319323421,0.41199704576518925,0.5946147695232293,0.5732525772432552,0.85
0.4,0.5601535607341388,0.4100409446629133,0.41316095843836276,0.5957470733841288,0.5746913632297976,0.85
0.4025,0.5616737542310799,0.41222827406015117,0.41433528777820294,0.5968793772450283,0.5761301492163402,0.85
0.405,0.563193947728021,0.41441560345738904,0.4155096171180431,0.5980116811059277,0.5775689352028828,0.85
0.40750000000000003,0.564714141224962,0.4166134370563075,0.4166839464578832,0.5991544891685079,0.5790077211894252,0.85
0.41000000000000003,0.5662448832451099,0.41881127065522616,0.4178582757977234,0.600297297231088,0.5804570556991746,0.85
0.41250000000000003,0.5677756252652577,0.42101969747448365,0.4190431983579026,0.6014401052936682,0.5819063902089239,0.85
0.41500000000000004,0.5693063672854055,0.4232281242937411,0.4202281209180817,0.6025935516541207,0.583355724718673,0.85
0.4175,0.5708371093055534,0.4254365511129987,0.4214130434782608,0.6037469980145731,0.5848157429891061,0.85
0.42,0.572378580939435,0.42765570754599,0.42260869565217385,0.6049004443750255,0.5862757612595391,0.85
0.4225,0.5739200525733169,0.42987486397898156,0.4238043478260869,0.606053890735478,0.587735779529972,0.85
0.425,0.5754615242071988,0.4321048429227955,0.425,0.607218159606753,0.5892066203112276,0.85
0.4275,0.5770138654062978,0.43433482186660943,0.4275,0.6083824284780279,0.590677461092483,0.85
0.43,0.5785662066053969,0.4365757178409909,0.43,0.6095466973493029,0.5921483018737386,0.85
0.4325,0.5801185478044961,0.4388166138153726,0.4325,0.6107219311328587,0.5936191426549942,0.85
0.435,0.5816819022194544,0.4410685230056134,0.435,0.6118971649164143,0.5951009966521088,0.85
0.4375,0.5832452566344124,0.44332043219585393,0.4375,0.61307239869997,0.5965828506492232,0.85
0.44,0.5848086110493707,0.44558345249720566,0.44,0.6142476324835257,0.5980647046463379,0.85
0.4425,0.5863719654643289,0.4478464727985575,0.4425,0.6154340269813671,0.5995465586434524,0.85
0.445,0.587946530641619,0.4501207038622411,0.445,0.6166204214792085,0.6010396234028988,0.85
0.4475,0.589521095818909,0.45239493492592464,0.4475,0.6178068159770499,0.6025326881623452,0.85
0.45,0.5910956609961988,0.45466916598960827,0.45,0.6189932104748912,0.6040257529217915,0.85
0.4525,0.5926702261734889,0.45695476068965557,0.4525,0.6201909686090963,0.6055301813176015,0.85
0.455,0.594256206875893,0.4592403553897028,0.455,0.6213887267433014,0.6070346097134116,0.85
0.4575,0.5958421875782971,0.46153741797965825,0.4575,0.6225864848775063,0.6085390381092217,0.85
0.46,0.5974281682807013,0.46383448056961374,0.46,0.6237957637490386,0.6100434665050317,0.85
0.4625,0.5990257230571796,0.4661431172336434,0.4625,0.6250050426205709,0.6115594689749159,0.85
0.465,0.6006232778336579,0.46845175389767296,0.465,0.626214321492103,0.6130754714448,0.85
0.4675,0.6022208326101361,0.47077207280469313,0.4675,0.6274236003636353,0.614591473914684,0.85
0.47000000000000003,0.6038183873866143,0.4730923917117133,0.47000000000000003,0.6286446163243694,0.6161074763845681,0.85
0.47250000000000003,0.6054277346159228,0.4754127106187335,0.47250000000000003,0.6298656322851035,0.6176352713072824,0.85
0.47500000000000003,0.6070370818452313,0.477744877866986,0.47500000000000003,0.6310866482458377,0.6191630662299967,0.85
0.47750000000000004,0.6086464290745397,0.48007704511523847,0.47750000000000004,0.6323076642065717,0.6206908611527111,0.85
0.48,0.610255776303848,0.4824211740859789,0.48,0.6335406418897938,0.6222306177979134,0.85
0.4825,0.6118771427639256,0.48476530305671933,0.4825,0.6347736195730159,0.6237703744431158,0.85
0.485,0.6134985092240033,0.4871215093221459,0.485,0.6360065972562381,0.6253101310883181,0.85
0.4875,0.615119875684081,0.48947771558757236,0.4875,0.6372395749394603,0.6268498877335205,0.85
0.49,0.6167412421441586,0.49183392185299885,0.49,0.6384847477446336,0.6284018395006741,0.85
0.4925,0.618374863506197,0.49420238302038605,0.4925,0.6397299205498069,0.6299537912678275,0.85
0.495,0.6200084848682355,0.49657084418777336,0.495,0.6409750933549803,0.6315057430349811,0.85
0.4975,0.6216421062302739,0.49895168159278447,0.4975,0.6422326423977773,0.6330576948021347,0.85
0.5,0.6232757275923124,0.5013325189977954,0.5,0.6434901914405745,0.6346220843802335,0.85
0.5025000000000001,0.6249218489543509,0.5037133564028065,0.5025000000000001,0.6447477404833717,0.6361864739583323,0.85
0.505,0.6265679703163893,0.5061067566218878,0.505,0.6460052895261688,0.6377508635364312,0.85
0.5075000000000001,0.6282140916784278,0.5085001568409693,0.5075000000000001,0.6472754648315922,0.63931525311453,0.85
0.51,0.6298602130404661,0.5109062474153805,0.51,0.6485456401370155,0.6408923330479588,0.85
0.5125,0.6315190895045454,0.5133123379897918,0.5125,0.6498158154424389,0.6424694129813875,0.85
0.515,0.6331779659686247,0.5157184285642031,0.515,0.6510859907478623,0.6440464929148163,0.85
0.5175,0.6348368424327039,0.5181374057365525,0.5175,0.6523561660532857,0.6456235728482451,0.85
0.52,0.6364957188967832,0.520556382908902,0.52,0.6536392947265848,0.6472136061495496,0.85
0.5225,0.6381676161941958,0.5229883809145848,0.5225,0.6549224233998838,0.6488036394508541,0.85
0.525,0.6398395134916084,0.5254203789202676,0.525,0.6562055520731829,0.6503936727521584,0.85
0.5275,0.641511410789021,0.5278523769259504,0.5275,0.6574886807464819,0.6519837060534628,0.85
0.53,0.6431833080864336,0.5302976024448608,0.53,0.6587850369330085,0.6535869668679948,0.85
0.5325,0.6448685032561866,0.532742827963771,0.5325,0.6600813931195351,0.6551902276825267,0.85
0.535,0.6465536984259397,0.5352014224666386,0.5375000000000001,0.6613777493060616,0.6567934884970587,0.85
0.5375,0.6482388935956926,0.5376600169695062,0.5425251256281407,0.6626741054925881,0.6583967493115905,0.85
0.54,0.6499240887654457,0.5401186114723737,0.5475756306786458,0.6639839751926282,0.6600000101261225,0.85
0.5425,0.6516228708917204,0.5425907929317629,0.5526517728106254,0.6652938448926682,0.6616168578971762,0.85
0.545,0.6533216530179953,0.5450629743911523,0.5577538136269521,0.6666037145927083,0.6632337056682298,0.85
0.5475,0.6550204351442699,0.5475351558505415,0.5628820187551571,0.6679135842927484,0.6648505534392836,0.85
0.55,0.6567192172705447,0.550021149464627,0.568036657930415,0.6692372661474846,0.6664674012103372,0.85
0.5525,0.6584179993968196,0.5525071430787123,0.5732180050806741,0.6705609480022208,0.6680981378702797,0.85
0.555,0.6601307480035412,0.555,0.5784399371955568,0.671884629856957,0.6697288745302223,0.85
0.5575,0.6618434966102629,0.5574999999999999,0.5836892810275776,0.6732083117116932,0.671359611190165,0.85
0.56,0.6635562452169846,0.56,0.5889663258824589,0.6745319935664293,0.6729903478501076,0.85
0.5625,0.6652689938237063,0.5625,0.5942713656702572,0.6758698799666201,0.6746210845100501,0.85
0.5650000000000001,0.6669960281447138,0.5650000000000001,0.5996046990035907,0.6772077663668108,0.6762661068842785,0.85
0.5675,0.6687230624657211,0.5675,0.6049666292984968,0.6785456527670015,0.6779111292585067,0.85
0.5700000000000001,0.6704500967867285,0.5700000000000001,0.6103574648780117,0.6798835391671924,0.6795561516327351,0.85
0.5725,0.6721771311077358,0.5725,0.6157775190785535,0.6812237107299701,0.6812011740069632,0.85
0.5750000000000001,0.6739041654287433,0.5750000000000001,0.6212419999528705,0.682576203649678,0.6828608162642325,0.85
0.5775,0.6756459056321036,0.5775,0.6267365054473759,0.6839286965693857,0.6845204585215017,0.85
0.58,0.677387645835464,0.58,0.6322613673258288,0.6852811894890934,0.6861801007787709,0.85
0.5825,0.6791293860388243,0.5825,0.6378169228813846,0.6866336824088013,0.6878397430360401,0.85
0.585,0.6808711262421846,0.585,0.6434035150601554,0.6880011453883892,0.6894993852933093,0.85
0.5875,0.682612866445545,0.5875,0.649037317877057,0.6893686083679773,0.6911740877915424,0.85
0.59,0.6843697581640568,0.59,0.6547030402566602,0.6907360713475653,0.6928487902897755,0.85
0.5925,0.6861266498825687,0.5925,0.6604010459546661,0.6921035343271533,0.6945234927880086,0.85
0.595,0.6878835416010805,0.595,0.6661481723914475,0.6934709973067413,0.6961981952862417,0.85
0.5975,0.6896404333195923,0.5975,0.6719285192122568,0.6948538923850948,0.6978728977844747,0.85
0.6,0.6913973250381041,0.6,0.6777424727006288,0.6962367874634482,0.6995631282330184,0.85
0.6025,0.693169841756616,0.6025,0.6835904259170033,0.6976196825418017,0.7012533586815619,0.85
0.605,0.6949423584751278,0.605,0.6894901309317523,0.6990025776201552,0.7029435891301056,0.85
0.6075,0.6967148751936397,0.6075,0.6954248490326427,0.7003854726985086,0.7046338195786492,0.85
0.61,0.6984873919121515,0.61,0.7014128729847383,0.701784291343741,0.7063240500271929,0.85
0.6125,0.7002599086306635,0.6125,0.7074369693702806,0.7031831099889734,0.7080303061167622,0.85
0.615,0.7020485543814333,0.615,0.7134975754308865,0.7045819286342059,0.7097365622063314,0.85
0.6175,0.7038372001322033,0.6175,0.719613783381957,0.7059807472794383,0.7114428182959007,0.85
0.62,0.7056258458829732,0.62,0.7257676295358031,0.7073795659246707,0.71314907438547,0.85
0.6225,0.7074144916337431,0.6225,0.7319788096600268,0.7087948319383243,0.7148553304750392,0.85
0.625,0.709203137384513,0.625,0.7382288096600267,0.7102100979519776,0.7165781428559992,0.85
0.6275000000000001,0.7110084498019497,0.6275000000000001,0.7445379579250111,0.7116253639656311,0.7183009552369592,0.85
0.63,0.7128137622193862,0.63,0.7508871642742173,0.7130406299792846,0.7200237676179192,0.85
0.6325000000000001,0.7146190746368228,0.6325000000000001,0.7572974206844739,0.7144558959929381,0.7217465799988793,0.85
0.635,0.7164243870542593,0.635,0.7637490335876996,0.7158711620065916,0.7234693923798392,0.85
0.6375000000000001,0.7182296994716959,0.6375000000000001,0.7702636915681558,0.7173035513079165,0.7251922047607993,0.85
0.64,0.7200522532684428,0.64,0.7768426389365767,0.7187359406092411,0.7269322585210696,0.85
0.6425,0.7218748070651897,0.6425,0.7834651554928679,0.7201683299105658,0.7286723122813399,0.85
0.645,0.7236973608619366,0.645,0.7901541187035703,0.7216007192118905,0.7304123660416103,0.85
0.6475,0.7255199146586835,0.6475,0.796910875460327,0.7230331085132152,0.7321524198018806,0.85
0.65,0.7273424684554305,0.65,0.8037135965487625,0.7244832283109939,0.7338924735621509,0.85
0.6525,0.7291650222521774,0.6525,0.8105864487824394,0.7259333481087724,0.7356503844652784,0.85
0.655,0.7310055616604352,0.655,0.817530893226884,0.7273834679065511,0.7374082953684059,0.85
0.6575,0.7328461010686929,0.6575,0.824548437086533,0.7288335877043297,0.7391662062715334,0.85
0.66,0.7346866404769505,0.66,0.8316155748957206,0.7302837075021082,0.7409241171746609,0.85
0.6625,0.7365271798852082,0.6625,0.8387584320385776,0.7317338272998869,0.7426820280777884,0.85
0.665,0.738367719293466,0.665,0.8459786486450759,0.7332024656161841,0.7444399389809159,0.85
0.6675,0.7402082587017237,0.6675,0.8532779187180685,0.7346711039324811,0.7462165066004612,0.85
0.67,0.7420675951024627,0.67,0.8606579925188066,0.7361397422487783,0.7479930742200067,0.85
0.6725,0.7439269315032015,0.6725,0.8681206790859706,0.7376083805650755,0.7497696418395521,0.85
0.675,0.7457862679039404,0.6755769230769231,0.8756678488972915,0.7390770188813727,0.7515462094590974,0.85
0.6775,0.7476456043046794,0.6786615577405051,0.883301436683551,0.7405456571976697,0.7533227770786428,0.85
0.68,0.7495049407054184,0.6817617321253143,0.8910234444055589,0.7420336753589282,0.7550993446981883,0.85
0.6825,0.7513642771061572,0.6848697352333174,0.8988359444055587,0.7435216935201865,0.7568954435677336,0.85
0.685,0.7532432985462663,0.6879856067036194,0.9067410827454798,0.7450097116814449,0.7586915424372791,0.85
